LEI	LEGAL NAME	STATE
549300K6L4VXCXWN4205	ORNL	
894500WMI4WHJAMANR31	OREL	
969500D86JWUPQL2PR26	ONLIZ	
8945009847R804APV925	ORILO	
254900BN9FQRG39O9K94	ORLAY	
549300CIQ950OK0BS407	SUNWARD	
9845000BA4467CBBR102	Sunyard OÜ	
54930098MJME41P4MV96	SONWARD LLC	
254900WU32M4LULIEX38	SUNGARD SYSTEMS AUSTRALIA PTY LIMITED	
54930003XPL2ZVFEFF38	SunGard Asia Pacific Inc.	
254900M51JMZ8FW7WC53	SUNGARD SYSTEMS NZ LIMITED	
9845006C55DE06600F05	SUNDARDAS GIANCHAND & CO	
IEL5DQBC1NHX1CEKKJ41	SunGard Data Systems Inc.	
549300Z7KF7I03AULW22	EECU	
213800J4HWF3G4O41137	EEC	
9695002JT4FVL6KGTK34	ECUS	
254900DLFREJF3Y4P923	Eeuwfeestplein 11 A	
9695004VMM7IUSA3QK94	EXCUB	
254900J4JM3SZWRC8282	EXCUR	
54930025XJJO3T0M1A92	GEORGIA'S OWN	
549300Q0QG1CZF1H4O06	AFFINITY CREDIT UNION	
9695004KGVDM8JZOPY39	AFFINITY FINANCE	
254900ZX5BZ0VJJOKK49	AdFinity OÜ	
6488VE1XSM7A1X921216	Affinity OU	
506700Z1827FQT10ZL92	AdFinity GmbH	
984500C5479X6ACB5F57	AFFINITAS ApS	
984500E0395C1D4DB643	Affinity Bank	
9695002GLNU5ZSA4W917	NUMERICA	
8156000CCED02C22E485	NUMERIA S.G.R. S.P.A. - SOCIETA' DI GESTIONE DEL RISPARMIO IN FORMA ABBREVIATA: NUMERIA S.G.R. S.P.A.	
98450037F086F9P25792	Numeric OÜ	
9695007F3TJOJQOQBT42	NUMERICARD	
984500ATBRC4CC3A7878	Numeric Ltd	
984500B6A5F8S3D0C585	Numerica GmbH	
5493001ZMCICV4N02J21	NUMERICABLE GROUP	
8156006F7D67E128FC68	NUMERICA S.R.L.	
549300WWLOUWIJ1Q0H29	MICHIGAN SCHOOLS AND GOVERNMENT	
549300BDHZAV4ZQHQV19	GOLDENWEST	
549300SF0LS843QIG640	GOLDENVEST LLC	
9845008A4EC43659FE07	GOLDENWEST LTD.	
2549007WMKBFDT087K49	Golden West Inc.	
894500XK2EQET1XQQ539	GOLDEN ESTATE FCR	
222100XVPCOMRFWKKC87	Golden Estate S.A.	
549300WPKW3TWLLOWE89	GOLDEN ESTATES MHP, LLC	
549300Q55O2CWL2RW006	Golden West Trading, Inc.	
549300M2H0S2WWYNUO61	GOLDEN WEST ALLIANCE, INC.	
549300HYXHAEBPPIV671	Golden West Nurseries Inc.	
549300HH0V8LECLNPQ26	ROGUE	
969500FTGCUDGEUA3C47	ROGER	
724500TOREF9Q4J88111	Roggeweg 30G	
3003001GLU1OW1XPKZ40	Provident Faith Investment Limited	
254900RNOI7GHTJRC502	PROVIDENT HOUSE STAINES LIMITED	
2549004KZY99PT6Y9B79	Previdente I	
549300UXTDELQS5SLF91	DUPACO COMMUNITY	
3003001S9HGWLWWFT460	SOUTHERN ENERGY HOLDINGS GROUP LIMITED	
BNDWG51KKFIKRYZVB193	Southern Energy Canal LLC	
SH3II2X4Q77M2XMBYL70	Southern Energy Kendall, L.L.C.	
213800R25GL7J3EBJ698	SOUTHERN ENERGY CORP.	
5493001OOEYU7AJAYU80	SOUTHERN ENERGY CORPORATION	
335800PK5WG193GDXQ81	SOUTHERN ENERGY DEVELOPMENT CORPORATION LIMITED	
549300IEP77RKJ87Z176	OREGON COMMUNITY	
549300CNQ5NIJ7UQEP94	Oregon Community Health Information Network Inc.	
549300CS1XP28EERR469	Oregon Community Bank	
54930067MGJBFNEN1P47	ELEVATIONS	
96950050LH6VDA5BXH52	ELEVATION 1	
98450089BCA5981F6261	ELEVATION AS	
2549007393VK28XYLT36	Elevation Church	
969500O36CDYZ7SAZQ19	ELEVATION COACHING & CONSULTING	
549300VKD9I6SUYZY132	ELEVATION ENERGY GROUP, LLC	
969500MEFW7OR06U9F76	ELEVATION IMMO VIE	
54930026C4N51R7ERK38	Coastal Road	
655600CDYVA5T8TY4K16	COASTAL DEVELOPMENT ZONE, LIUTUAN TOWN, CHANGYI CITY	
335800TNRYAE4LD5IL39	COASTAL AQUA	
549300FH5B8B7PZP2H39	Coastal Commerce Bank	
549300Z4HQ7YDKUVEW39	VANTAGE WEST	
549300V6BPIRD58NZK44	Vintage Westwood LLC	
959800QJUPWQGNWBQD16	VANTAGE ESTATE GROUP SL	
254900FFFSLIVA0F5296	Vantage Westfield Realty LLC	
5493007NWWXOD5JWYR25	VINTAGE/WEST STREET ENERGY ACCESS LP	
549300HVFLWKU7133506	PREMIER AMERICA	
984500644493DB0F7735	PREMIER AMERICAN URANIUM INC.	
549300SGSDB4HQJSLK07	Premier American Bank, National Association	
5493001ZUNE2DKEA4702	ADDITION FINANCIAL	
5493007669OVCSCATP45	TENNESSEE VALLEY	
549300HE1ISW43LNKM54	Tennessee Valley Authority	
549300X45G4SWX8O0380	Tennessee Valley Recycling, LLC	
549300FK5DTQSIKSI794	Tennessee Valley Railroad Museum	
549300OBL4YZR6MV7S15	TENNESSEE VALLEY FINANCIAL HOLDINGS, INC.	
ZDY0VFJQHFOBZA3F3M79	Tennessee Valley Authority Retirement System	
549300J066GB86NYM454	Tennessee Valley Authority Asset Retirement Trust	
UDW485GP1V25GTXJ0H77	Tennessee Valley Authority Master Decommissioning Trust	
8156006A0C7518749F33	POLIS	
549300POO7ICD42ENX41	POLYSHARP INVESTMENTS LIMITED	
969500TJ3CRB3WI5TG19	POLIPHINE	
2138007ZPDNUIHX6Z659	POLIGHT ASA	
984500BE7DE7CEVEFC83	Poleshift AB	
81560059370D8DF0B768	POLIS S.P.A.	
894500PD7TE75CKYA319	Polichi, S.L.	
984500DD02BA3F94HF52	JS Jobsparring	
9695000GCLATK495U098	J3C	
8755004EWNO2W64MYW29	Jac	
894500KWB59D4BTAI947	JACOBS CONSULTING	
699400CNSO9EN20AOT86	Jacobuslei 102	
549300Z6QWABFYI73E79	HAWAIIUSA	
5493005H3NABV4GMAG85	CONNECTICUT STATE EMPLOYEES	
549300TYBI78RNWPFB28	AMERICAN EAGLE FINANCIAL	
5493003WN6DPWM6VYA67	AUSTIN TELCO	
969500BQFPW0S3AG8188	ATURA	
969500YW0YUY1H11ZM07	ALTERA	
894500J9N91UWF3A7O68	Altera	
7245002CM2AOO2KEU733	Altrax	
875500HVYHYM4FEUU076	alture	
254900YB0T0473266X15	ALTRADE	
894500YDY2GCH3ID8Q59	ALTURAS	
5493009ZCCRMAMP5QR71	ALTUREN	
506700H8N52EN8IZ2M21	Altra AG	
549300GY97XGRF7XZO52	TEXANS	
967600SGSMWV7AM3N235	Texanel	
836800BSEWKTYTDVYQ21	TEXAS MACHINE LIMITED	
549300Z4E78BSM0XM758	TEXAS BAY	
2549007NTZZX7VJJPB03	TexasBank	
549300W6OBJ6KNM5Y833	Texas Bank	
815600956E70D8B0FB29	TEXA S.P.A.	
549300TE5E6DWAI74K71	GEORGIA UNITED	
549300MVSM4XYFQL3X62	BARKSDALE	
213800NUSPAMN8G26863	BARNSDALE FURBS	
549300JSC30UXM5OSU40	BARKSDALE CAPITAL CORP.	
9845003F78A6A3D3A470	Barnsdale Station	
2549003N1436CTA2TY52	Barksdale Investment Management	
96950097HMFYT39TGR86	FORUM DU LIMOUSIN	
969500R4YT33AGAY2F80	FORMA	
3358002QQBJ1XPAMV998	FORMS	
969500XHJUB9G5OIGO65	FORUS	
558600JTSQPDUL37K889	Forus	
969500902WD6IX416P07	FORMAK	
8945001ZA0DORZR5V884	FORMAZ	
213800ERF3SHGRKW8R02	FORMERANK LIMITED	
549300L4PTYXDMX1GS50	BRIGHTBRIDGE	
54930049IDRBORY7NZ60	Brightbridge AB	
213800RNYOSDU4G8IH40	BRIGHT BRIDGE LIMITED	
894500VW5YT7JTMW6U90	Brightbridge advisors LLP	
894500RPL6ZD1OGZUD71	BRIGHTBRIDGE ADVISORY SERVICES LLP	
549300A4ZI1DF2OO1B51	MERIWEST	
724500YIV28JI0XY8G45	Merwestraat 31	
5493000BUB7NZ6OI8T44	Meriwether, LLC	
724500SLM51HZBIEZD32	Merwestraat 4a	
549300LDRZALMUVLQS13	Meriweather Capital, LLC	
724500M1AHKR0HLK9U03	Merwestaal Moerdijk B.V.	
213800IAWCGQPVOQPT11	MERIWETHER CAPITAL LIMITED	
724500JOLF4XZ9VAYS76	Merwestraat 20	
549300SKHHL7A2K8YV94	MERIWEST MORTGAGE COMPANY, LLC	
5493000KQ2PZ8G6VNI80	CANYON VIEW	
254900DXA159OKCE4S21	CANYON VIEW HOLDINGS, LLC	
25490067Z3A8S0BJLG96	Canyon View Investors LLC	
254900VWOMCBNYL8DO17	Canyonview Holdings, Ltd.	
254900ZW01GPYDUWV821	Canyon View Vintage SPE LLC	
254900OGSJ1SLSRJY032	Canyon View Capital Inc	
549300F6S4S7QMOUVG59	FIRST ENTERTAINMENT	
549300KKOHQFSTKHSN59	TEXAS TRUST	
549300S76INQWFZOSB74	SUFFOLK HOUSE GEORGE STREET	
959800A3W357HQZEL760	SURFOLK SL	
SE6O2F08R0YOOHH9J397	SuffolkFirst Bank	
315700XTDT63DHVXJF26	SUFOLK s.r.o.	
254900NTJYAJYLZ8G522	SUFFOLK AV LLC	
9695003FGBVS46H0V561	SUPERETTE MARCEL	
969500KBC8BLVMR5PG98	S.P	
549300LR7K4CNQ9O2P26	S.P.I+	
969500WRA06F5O39QP74	S3P	
969500WIB5PM8C9OKG02	SBP	
969500UGLHIWCNDLI068	SEPHORA COLLECTION	
9695004C48ZV5IAJYV40	MONTFERRAT	
969500DDNCU6XTGTRX10	MONTEREAU FAULT YONNE	
549300XM4K4UWUZ7UR05	MONTERSA	
5493003B2LEGQHDWRN55	HANSCOM	
636700G3Z0FAIHTDO897	HanSco AB	
549300UH120Y8WMLER10	HANSCO AS	
743700KK49C8O6QG9662	Hans Company Oy	
549300NY1Q0D2UFR7E66	HANSCO INVEST AS	
549300GMFFCDEXY8I984	HASCOMBE LIMITED	
254900ELA4BMDZI84P98	HASCOMBE FARM	
6488DYK00O49C847LI02	HANS COMMUNICATION	
9695009MVBPX3WUL5Y75	SOTTEVILLE-SOUS-LE-VAL	
969500JHVC9OTI6PEJ25	SCORTA	
699400SJIU6CSL2Z5457	SCOTCHA	
89450030P64STXVMVI96	SCOTTEZ	
549300KI75VYLLMSK856	SCOTTISH AND SOUTHERN ENERGY PLC	
549300TO60B9X551RO23	SHOTTON LANE	
549300AMIFHIUW2PTD52	Skotthyllveien 4	
5493000KTY8YQ4SFHT59	COASTHILLS	
549300UPOE11Q861V459	Coast Hills Community Church of the Saddleback Valley, Inc.	
549300FOPGYPVP42FW34	DATCU	
894500VBULIV3XMVE991	DACU	
984500DCCPC9D36AD976	DATUS	
894500IIJOEQJP0J1U16	DATCHA	
9695004Q0OY4C6JG5391	DATURA	
9695006X80D9RAA65T83	DACUNCAO	
5967007LIEEXZX8TPS39	DATUM AS	
894500XFRIJWR895ZI73	Datum OÜ	
9695006XH59FCKCBML70	DATACUSTO	
549300YKOCNDPE0N7X40	ST. MARY'S BANK	
549300QZED00YTPAWQ69	GREATER NEVADA LLC	
254900WAN5TOEYBJJR25	UNITED HERITAGE	
549300V5YG1VXZAU5G02	UNIVERSITY OF KENTUCKY	
549300CXE3YQ1HXYCQ71	University of Kentucky	
549300H6J0XZXQGKDW16	U.S. EAGLE	
636700SFQ9RA0OBHH521	US Eagle Real Estate (EU Parallel) S.C.S.	
254900XBC6LXIPLN5O68	US Eagle Real Estate Multi-Sector Operating Partnership, LP	
549300R22XCNNGVXRO22	SELF RELIANCE NY	
549300FGGERPRKXH7V65	AVADIAN	
969500ARUOU6WUEYRS96	ACADIANE	
98450020CDBAAF2E9C02	AVADHAN PTY LTD	
6488U59O028BFW2FP423	AVADHANAM RISHI	
6488MV7H521T70A5TR70	AVADHANAM PAPIER ROAD, CHOLLAI	
9845003B10BE6E40C668	AVADANAM RAJA KUMAR	
I7USX7MCHOKRPLTHMC66	Acadian Fund Limited	
254900CV2PWM4BDWF804	Acadian Heritage LLC	
529900R43U08MDP0X910	Acadian Timber Corp.	
5493002CH6YC0TDHCN17	ACADIAN CHINA A EQUITY	
549300M59800JNGYFP30	EAST TEXAS PROFESSIONAL	
549300ZJK68X6PQU2308	TELHIO	
969500KBXNRHEAJ3FM67	TELEIOS	
9845000Y55D7B971LE40	TELION OG	
959800VSXB5RQDPCBE67	TELIO ZEN SL	
097900CAKA0000060988	Telion s.r.o.	
95980051GU3LL57JJY97	TELHIDRA, S.L.	
5493000OPM9WOI4A2927	Telio & Cie Inc.	
959800PXJVT77EC1ZW62	TELIOS LOGISTICA SL	
549300O2KX31BK6QMT71	TELHOTEL MIFRATEL NV	
549300L3IHIP0RH6IY76	SANDIA AREA	
549300NW5S24O35U1962	NOBLE	
699400TQ40574TRPSP98	Nollekensstraat 56	
96950054ISFUGDR0KK53	NOBEL	
969500W6OET8V75CIL28	NOLEM	
894500XSOXCUG717XV06	NOBECO	
96950054Z08Z615EAJ23	NOBLET	
969500EPBL90D5O2PY44	NOLEAN	
549300ADQZZL7YHPNR77	NOLLET	
213800PTE9Q6VX85E283	DIRECTION DES AFFAIRES ECONOMIQUES - GOUVERNEMENT DE NOUVELLE CALEDONIE	
969500ASEC557H5A4F22	DIRECTION GENERALE ET IFE	
254900EJF6QVN7XNDV64	Direction Générale des Impôts	
9695000YG7TR7PAP0L59	DIRECTION GENERALE DE LA POSTE	
969500ND5GE09V9DZ509	DIRECTION RH	
969500T2WIFJGMIEIC81	DIRECTIONS COMMERCIALES REGIONALES	
9695006I04FLQT3J0825	DIRECTION GRID	
549300F2GDWKJH3GMB47	EDUCATIONAL SYSTEMS	
213800UM49SKTF6J8X93	EDUCATIONAL SYSTEMS HOLDINGS LIMITED	
254900N33AYNKI4VCV72	Gulf Winds Credit Union	
558600D1NG3Q2AXYS760	Gulf Wind Trading Company	
254900C5PEUV3OFLZ319	Gulf Winds International Acquisition, LLC	
549300XX13JHEWRNBX43	Trityr AB	
506700ASQS76U3MXO333	Trusty AG	
724500L68DBAIVT9NN39	TRITY B.V.	
9845007O688CA91E4106	TRUSTY LTD	
549300IKKCKNJBWDNV25	TRUVITY B.V.	
549300D4CO7Q8MYI8X07	Trunity Holdings, Inc.	
549300HTD1I3G8BKSM40	Truitt Bros., Inc.	
984500C840K54A265689	TRITYUM HOLDING LTD	
254900FFZUXK3B729T97	Deseret First Credit Union	
5493002LW7G8E8SHWC88	SESLOC	
815600220609C5481141	SELOCHI S.R.L.	
815600B269BBF14BEE76	SESTOCERVO SRL	
213800EKPU23S7FHZG94	SEALOCK LIMITED	
5299009UJG458ONQXB91	SESJOCAL STIFTUNG	
259400IIV8MRXZTB8A88	SEALOCK SP. Z O.O.	
2138004VVYHKZRNMDF14	SESL CONSULTANCY LTD	
969500NE6QJEWWZF8Y90	HONDEGHEM	
894500XSOTHEK0EZD882	Hondstraat 2	
9695003H4JRT3B8LP854	HOLDAF	
9695005OJ2FM3PWGS028	HOLDAJ	
894500A0GC41E5YB9M03	HOLDAO	
894500L2MAWEEDQ3RI49	Honderdweg 20	
9845003E86A490A15758	HONDIL	
549300GS2JP8CQK0MD31	MEMBERS COOPERATIVE	
549300GMNBYF84V5RF83	FIRST COMMERCE	
3003004PSPQJRY6Q0Q74	First Commercial Bank Shanghai Branch	
254900YR8UZ7F37G6E87	FIRST COMMERCE BANK	
549300LE0V064D56X141	First Commercial Centre	
254900MIVFLFNDM9LO98	First Commercial, LLC	
549300MNJT84X74B3052	First Commercial Bank of Cullman County	
9845001BBYE666869571	FIST COMMERCE INCORPORATED	
254900R7HQSWNYO82V50	FIRST COMMERCE SECURITIES, LLC	
5493003NOCSC6LUWUF03	FIRST COMMERCIAL BANK, LTD.	
549300DEVPMBR765WH45	UTAH FIRST	
549300SQ2G271NHKJQ07	CRANE	
8945001ACCMB6NURG350	Cranves-Sales	
635400YJXZORIY4Y3M47	CARNEGIE HOUSE	
549300I0JGZE27J13Z50	NEIGHBORHOOD	
254900ZRD8YCNIAI8J96	Neighborhood 915	
984500BA9B08B596C127	Neighbourhood ApS	
5493006LN71SBW3WRK40	Neighborhood Club	
254900NM6YVHJYU4MB60	NEIGHBORHOOD OF SAN FRANCISCO	
549300BKBSGZLG7UFH64	Neighborhood Health	
335800VAWNOWHS4QIT55	NEIGHBOURHOOD ESTATES	
549300D5K6KSCKMW4394	NEIGHBORHOOD COMMUNICATIONS LLC	
254900IIWTH2JI0SJS96	NEIGHBORHOOD HEALTHCARE	
254900O723MCLR701H50	Neighborhood Loans, Inc.	
549300NBSU5FHMDN5F74	FIRST SOURCE	
549300TX8IZJBL703C93	First Source Data, Inc.	
549300TQKWHDXQ8K6359	FIRST SOURCE LIMITED	
UIHQXRGJS4GX0VI84546	First Sourcenergy Wyoming Inc.	
3358002K4G15NDV8B427	FIRST SOURCE INDUSTRIES	
549300N5247WXSYGNF68	FIRSTSOURCE GROUP USA, INC.	
335800UFBBNPDIZWQX32	FIRSTSOURCE SOLUTIONS LIMITED	
213800GR9C37682OG558	FIRSTSOURCE SOLUTIONS UK LIMITED	
98450080ZA43B6GD7F84	FIRST SOURCE IMPEX PRIVATE LIMITED	
549300QRWA4IGMDEDT70	IDEAL	
254900Y8T0AHN793NZ15	IDEA!	
969500VSDO1Z9X647035	IDEOL	
969500GDQZD3IEDHQC25	ID ALU	
9676005QMVRZQRZAYE12	IDALAB	
969500SU1FWA0L92JB21	IDEALE	
875500SY4K88OJNITS73	IDEALO	
549300HNLRFF87UZY830	NACHES LTD	
98450000360467DBEC70	Necesse B.V.	
549300EELPDQ9TN17880	Necesse Holding AB	
8156000F1DC7BDF07D10	NECESSITING S.R.L.	
549300UEKMR8D6ECVK60	N. Chesterfield	
743700F7XV8UCSTTLD28	Necessitas Capital Oy	
2549005RLCPUQS9Y3S31	NECESITO UN TRASTERO SL	
5493007EGI95MEVJ2178	MICHIGAN EDUCATIONAL	
254900CI0FEIZJFPX482	Haslegardsvej 8 12	
894500CPGG1PKFU9HM58	HES - 2 allée de Terrefort	
549300ZB6UH4MMUZWP34	RAIF7_2	
485100HDB76JIVSEGF30	RAZBOINA vilage	
5493006GZTKL5IK5TQ24	RAIS	
984500BF7FI60FBU4D77	RUIZ	
549300MM47EW16LNTQ39	RAIF82_1	
7437007151BAA5LFWZ59	Railinpolku 13	
213800RADAMZT69J8P80	ST. MARY'S	
2549008C5K5O8JKRNI77	St. Marys House, Netherhampton, Salisbury, Wiltshire,	
9845002BAB69F004CE16	St. Marys Road	
549300U1V61ZDK023383	BRAZOS VALLEY SCHOOLS	
894500PCG3NCYFXK0D60	Westby Co-op Credit Union	
549300IWI4Y8CDQJZJ95	WESTBY COOPERATIVE CREAMERY	
549300WX4YO71NFO5362	HOUSTON POLICE	
549300IL0S2Z5O5X2F24	Houston Police Officers' Pension System	
549300LCT0EFT83E5873	ENRICHMENT	
5493004K74YLJN1WTX71	Enrich Enterprises (HK) Co Ltd	
549300S1ULK3TJQ8I652	FIRST CITY	
5493009H387ACDOD4621	FirstCity Bank of Commerce	
0292003818A1T1X5I052	FIRST CITY PLAZA,	
549300VVOEBMZBXLUN11	First Citrus Bank	
9845006754DBFE91C148	First City House	
5493001LX61Z2UVYSC48	FIRST CITIZENS BANC CORP.	
635400SEMDV1M8LIUZ41	First Citizen Finance DAC	
254900V3X9I3FAUULX72	Hoosier Hills Credit Union	
549300KQSQILBRP8EO26	Fontera AB	
984500EJ0AZD08C8CC28	FORTER LTD	
5493004XPMXL46FKLN63	FORTRA, LLC	
5493004QRDWIK48HYR98	FORTRAD LTD	
98450070FF8A97DB0I90	Fortream OÜ	
815600135E6F8850B516	FORTELAB SRL	
549300DIDLREMHLAYY41	FORTER TRUST	
969500EQ246QRFNFC295	RADIANT	
969500MH4YYN2J25E678	RADIAN	
894500ALDO9WGIC1O704	Radiand	
391200ML1JFAQ0LFO582	radiand AG	
743700MWT4G8IW898351	Radiata Oy	
7437000ZZ9IE8HPMUU50	Raidantie 17	
5067002XUZQR04O3A166	radicant ag	
213800LFYAHTIGXHFV58	GOTHERSGADE 133	
969500HR1GK00DRITQ30	GATERAT	
21380078BT5SI7YM3L56	GAITHERSBURG, MD	
391200H3HLBAVUAKY577	Gatterweg 8	
894500TVSQQDIKJMNL64	Gothersgade 103, st.	
5493008SX4PVT0TZGF57	Gothersgade 105, 1. th.	
984500UDF8E3AL1C6586	Gothersgade 156 B, 2.	
5493008H38W2EPJ8ZQ43	ALL ONE	
54930087C8PHH4971F54	ALM ONE LLC	
529900M4KVAN8B9FXF79	ALD-ONE Fonds	
984500FRC5F7591C6A90	ALLDONE S.R.L.	
98450012F64PLF664C81	All Money In OÜ	
984500B5AC1CEA0E1360	ALLTONE PTY LTD	
097900CAKA0000298638	ALL ENERGY, s.r.o.	
549300T4SNSK47J64F10	All-On-Green Ett AB	
549300LSF1SQZ70XLX88	All-On-Green Fem AB	
549300XFFRJX2835SG22	Texas Bank Financial	
5493009ZD1MTIFIGOP46	TEXAS BAYROCK CAPITAL, LP	
549300TETFK3GXOHZ594	Texas Bank and Trust Company	
549300ERP1DE053T8473	Texas Boys Choir	
25490040SAIUC5ZZ5151	TEXAS BAYBROOK SQUARE CENTER, L.P.	
254900G5C68Y82BIV090	Day Wireless Systems	
335800JNB7MH6PQ2LI97	DRY AIR TECHNOLOGIES	
254900JPFVLN18XNDG98	Day Air Credit Union, Inc.	
335800X7W1F5DEQ1Y331	DRY AIR INDIA PRIVATE LIMITED	
5493003DVQUF5HAI1O03	CORPORATE AMERICA FAMILY	
2549008NRAZRGNG0TT58	PFCU	
6488N335SPEP8M452S63	PECUS	
894500RCNKUVF8R4VP73	PFC nv	
969500X5GL4LEANBSC88	PMCUBE	
5493007CK61KKSM8N189	PECU AB	
969500B33FR4NC2GNT79	PECULIA	
6994003VKPTCQGWU0295	PECUNIA	
64885S4CGUOF62M19502	Picus OU	
969500498J0XRMPD2V80	PELICAP	
969500XP9BIUJKJVPM62	PELICAR	
875500W9RGUYD702L813	Pelikan	
969500HJW3PVPUGW4191	PELICAN VENTURE	
8945005C5SXWNIA93H43	Pelicano	
969500SMJTYGR4GDIU32	PELECANUS	
969500C7DTSNNKM66B55	PELICAN 1	
549300PUF6BDR1QRB167	1ST NORTHERN CALIFORNIA	
